slice_file_name,fsID,start,end,salience,fold,classID,class
121286.wav,121286,0,0.33,1,1,0,air_conditioner
202516.wav,202516,0,0.26,1,1,0,air_conditioner
121285.wav,121285,0,0.22,1,1,0,air_conditioner
185709.wav,185709,0,0.2,1,1,0,air_conditioner
47160.wav,47160,0,0.17,1,1,0,air_conditioner
153261.wav,153261,0,0.11,1,1,0,air_conditioner
60846.wav,60846,0,0.1,1,1,0,air_conditioner
50901.wav,50901,0,0.19,1,1,0,air_conditioner
56385.wav,56385,0,0.09,1,1,0,air_conditioner
35382.wav,35382,0,0.07,1,1,0,air_conditioner
170245.wav,170245,0,0.02,1,1,0,air_conditioner
202517.wav,202517,0,0.04,1,1,0,air_conditioner
127872.wav,127872,0,0.02,1,1,0,air_conditioner
127873.wav,127873,0,0.02,1,1,0,air_conditioner
14524.wav,14524,0.45,0.46,2,2,1,car_horn
107090.wav,107090,0.25,0.3,2,2,1,car_horn
66115.wav,66115,0.16,0.24,2,2,1,car_horn
27068.wav,27068,0.25,0.26,2,2,1,car_horn
138465.wav,138465,0.19,0.23,2,2,1,car_horn
184355.wav,184355,0.04,0.05,2,2,1,car_horn
162540.wav,162540,0.01,0.11,2,2,1,car_horn
162541.wav,162541,0.01,0.11,2,2,1,car_horn
43803.wav,43803,0.02,0.03,2,2,1,car_horn
176634.wav,176634,0.02,0.03,2,2,1,car_horn
151359.wav,151359,0.05,0.14,2,2,1,car_horn
54187.wav,54187,0.01,0.13,2,2,1,car_horn
44278.wav,44278,0.06,0.1,2,2,1,car_horn
179868.wav,179868,0.02,0.03,2,2,1,car_horn
176638.wav,176638,0.04,0.07,2,2,1,car_horn
174840.wav,174840,0,0.05,2,2,1,car_horn
175856.wav,175856,0,0.05,2,2,1,car_horn
175845.wav,175845,0,0.05,2,2,1,car_horn
174841.wav,174841,0,0.03,2,2,1,car_horn
73168.wav,73168,0,0.05,2,2,1,car_horn
87275.wav,87275,0,0.03,2,2,1,car_horn
83488.wav,83488,0.02,0.04,2,2,1,car_horn
175850.wav,175850,0,0.03,2,2,1,car_horn
175848.wav,175848,0,0.01,2,2,1,car_horn
179858.wav,179858,0,0.01,2,2,1,car_horn
175844.wav,175844,0,0.01,2,2,1,car_horn
138468.wav,138468,0.02,0.04,2,2,1,car_horn
179862.wav,179862,0.03,0.07,2,2,1,car_horn
175851.wav,175851,0.03,0.02,2,2,1,car_horn
175849.wav,175849,0,0.02,2,2,1,car_horn
175846.wav,175846,0,0.02,2,2,1,car_horn
83465.wav,83465,0,0.04,2,2,1,car_horn
125520.wav,125520,0,0.08,2,2,1,car_horn
182474.wav,182474,0,0.04,2,2,1,car_horn
175854.wav,175854,0,0.02,2,2,1,car_horn
179866.wav,179866,0,0.02,2,2,1,car_horn
175855.wav,175855,0,0.02,2,2,1,car_horn
179865.wav,179865,0,0.02,2,2,1,car_horn
179860.wav,179860,0,0.02,2,2,1,car_horn
175852.wav,175852,0,0.02,2,2,1,car_horn
26177.wav,26177,0,0.03,2,2,1,car_horn
118070.wav,118070,0,0.02,2,2,1,car_horn
179864.wav,179864,0,0.02,2,2,1,car_horn
179867.wav,179867,0,0.03,2,2,1,car_horn
162728.wav,162728,0,0.03,2,2,1,car_horn
164626.wav,164626,0,0.02,2,2,1,car_horn
179863.wav,179863,0,0.02,2,2,1,car_horn
179861.wav,179861,0,0.02,2,2,1,car_horn
162703.wav,162703,0,0.03,2,2,1,car_horn
94868.wav,94868,0,0.03,2,2,1,car_horn
164627.wav,164627,0,0.02,2,2,1,car_horn
175843.wav,175843,0,0.01,2,2,1,car_horn
175847.wav,175847,0,0.01,2,2,1,car_horn
175842.wav,175842,0,0.01,2,2,1,car_horn
156091.wav,156091,0,0.02,2,2,1,car_horn
49974.wav,49974,0,0.02,2,2,1,car_horn
54086.wav,54086,0,0.04,2,2,1,car_horn
145577.wav,145577,0,0.01,2,2,1,car_horn
58202.wav,58202,0,0.02,2,2,1,car_horn
176003.wav,176003,0,0.01,2,2,1,car_horn
164625.wav,164625,0,0.01,2,2,1,car_horn
26176.wav,26176,0,0.01,2,2,1,car_horn
153057.wav,153057,0,0.01,2,2,1,car_horn
178115.wav,178115,0,0.03,2,2,1,car_horn
175853.wav,175853,0,0.01,2,2,1,car_horn
162702.wav,162702,0,0.01,2,2,1,car_horn
32417.wav,32417,0,0,2,2,1,car_horn
19026.wav,19026,0,0.01,2,2,1,car_horn
26185.wav,26185,0,0,2,2,1,car_horn
68657.wav,68657,0,0,2,2,1,car_horn
2937.wav,2937,0,0,2,2,1,car_horn
118496.wav,118496,0,0.03,2,2,1,car_horn
17124.wav,17124,0,0,2,2,1,car_horn
170243.wav,170243,0,0,2,2,1,car_horn
26186.wav,26186,0,0,2,2,1,car_horn
156194.wav,156194,0,0,2,2,1,car_horn
60591.wav,60591,0,0.3,1,3,2,children_playing
52882.wav,52882,0,0.26,1,3,2,children_playing
76221.wav,76221,0,0.25,1,3,2,children_playing
27070.wav,27070,0,0.23,1,3,2,children_playing
72015.wav,72015,0,0.15,1,3,2,children_playing
84359.wav,84359,0,0.22,1,3,2,children_playing
196085.wav,196085,0,0.15,1,3,2,children_playing
196070.wav,196070,0,0.14,1,3,2,children_playing
116423.wav,116423,0,0.13,1,3,2,children_playing
196084.wav,196084,0,0.11,1,3,2,children_playing
196063.wav,196063,0,0.08,1,3,2,children_playing
196077.wav,196077,0,0.07,1,3,2,children_playing
196066.wav,196066,0,0.07,1,3,2,children_playing
61503.wav,61503,0,0.27,1,3,2,children_playing
196068.wav,196068,0,0.06,1,3,2,children_playing
196059.wav,196059,0,0.06,1,3,2,children_playing
196067.wav,196067,0,0.06,1,3,2,children_playing
196057.wav,196057,0,0.04,1,3,2,children_playing
196083.wav,196083,0,0.04,1,3,2,children_playing
196087.wav,196087,0,0.04,1,3,2,children_playing
196073.wav,196073,0,0.03,1,3,2,children_playing
196075.wav,196075,0,0.03,1,3,2,children_playing
196082.wav,196082,0,0.03,1,3,2,children_playing
196069.wav,196069,0,0.03,1,3,2,children_playing
196072.wav,196072,0,0.02,1,3,2,children_playing
196081.wav,196081,0,0.02,1,3,2,children_playing
196058.wav,196058,0,0.02,1,3,2,children_playing
196065.wav,196065,0,0.02,1,3,2,children_playing
36429.wav,36429,0,0.55,1,3,2,children_playing
196078.wav,196078,0,0.02,1,3,2,children_playing
156200.wav,156200,0,0.02,1,3,2,children_playing
196062.wav,196062,0,0.02,1,3,2,children_playing
196079.wav,196079,0,0.02,1,3,2,children_playing
196076.wav,196076,0,0.02,1,3,2,children_playing
196074.wav,196074,0,0.02,1,3,2,children_playing
196088.wav,196088,0,0.02,1,3,2,children_playing
196061.wav,196061,0,0.02,1,3,2,children_playing
196086.wav,196086,0,0.01,1,3,2,children_playing
196060.wav,196060,0,0.01,1,3,2,children_playing
196071.wav,196071,0,0.01,1,3,2,children_playing
196080.wav,196080,0,0.01,1,3,2,children_playing
196064.wav,196064,0,0.01,1,3,2,children_playing
192236.wav,192236,0.1,0.26,1,4,3,dog_bark
44110.wav,44110,0,0.42,1,4,3,dog_bark
174994.wav,174994,0,0.4,1,4,3,dog_bark
110371.wav,110371,0,0.23,1,4,3,dog_bark
128470.wav,128470,0.1,0.24,1,4,3,dog_bark
34771.wav,34771,0,0.37,1,4,3,dog_bark
128891.wav,128891,0,0.29,1,4,3,dog_bark
166489.wav,166489,0,0.17,1,4,3,dog_bark
18453.wav,18453,0,0.27,1,4,3,dog_bark
116485.wav,116485,0,0.55,1,4,3,dog_bark
116483.wav,116483,0,0.27,1,4,3,dog_bark
180257.wav,180257,0,0.14,1,4,3,dog_bark
59513.wav,59513,0,0.23,1,4,3,dog_bark
196127.wav,196127,0,0.14,1,4,3,dog_bark
114587.wav,114587,0,0.19,1,4,3,dog_bark
179386.wav,179386,0,0.13,1,4,3,dog_bark
29936.wav,29936,0,0.2,1,4,3,dog_bark
118101.wav,118101,0,0.24,1,4,3,dog_bark
158607.wav,158607,0,0.13,1,4,3,dog_bark
55013.wav,55013,0,0.2,1,4,3,dog_bark
74513.wav,74513,0,0.19,1,4,3,dog_bark
203516.wav,203516,0,0.19,1,4,3,dog_bark
164311.wav,164311,0,0.11,1,4,3,dog_bark
65381.wav,65381,0,0.37,1,4,3,dog_bark
30344.wav,30344,0,0.18,1,4,3,dog_bark
125523.wav,125523,0,0.33,1,4,3,dog_bark
62048.wav,62048,0,0.17,1,4,3,dog_bark
180256.wav,180256,0,0.1,1,4,3,dog_bark
159726.wav,159726,0,0.08,1,4,3,dog_bark
85362.wav,85362,0,0.17,1,4,3,dog_bark
156418.wav,156418,0,0.17,1,4,3,dog_bark
115537.wav,115537,0,0.2,1,4,3,dog_bark
137803.wav,137803,0,0.09,1,4,3,dog_bark
49809.wav,49809,0,0.31,1,4,3,dog_bark
54545.wav,54545,0,0.1,1,4,3,dog_bark
50885.wav,50885,0,0.15,1,4,3,dog_bark
34872.wav,34872,0,0.09,1,4,3,dog_bark
166268.wav,166268,0,0.04,1,4,3,dog_bark
207124.wav,207124,0,0.13,1,4,3,dog_bark
17810.wav,17810,0,0.13,1,4,3,dog_bark
128030.wav,128030,0,0.08,1,4,3,dog_bark
207962.wav,207962,0,0.07,1,4,3,dog_bark
33849.wav,33849,0,0.12,1,4,3,dog_bark
102105.wav,102105,0,0.11,1,4,3,dog_bark
57596.wav,57596,0,0.1,1,4,3,dog_bark
117271.wav,117271,0,0.1,1,4,3,dog_bark
155314.wav,155314,0,1.21,1,4,3,dog_bark
69777.wav,69777,0,0.09,1,4,3,dog_bark
68389.wav,68389,0,0.09,1,4,3,dog_bark
208030.wav,208030,0,0.19,1,4,3,dog_bark
97756.wav,97756,0,0.09,1,4,3,dog_bark
72537.wav,72537,0,0.37,1,4,3,dog_bark
150341.wav,150341,0,0.18,1,4,3,dog_bark
22973.wav,22973,0,0.09,1,4,3,dog_bark
74723.wav,74723,0,0.08,1,4,3,dog_bark
4918.wav,4918,0,0.08,1,4,3,dog_bark
67049.wav,67049,0,0.08,1,4,3,dog_bark
72539.wav,72539,0,0.34,1,4,3,dog_bark
74495.wav,74495,0,0.08,1,4,3,dog_bark
41918.wav,41918,0,0.08,1,4,3,dog_bark
74725.wav,74725,0,0.08,1,4,3,dog_bark
95532.wav,95532,0,0.07,1,4,3,dog_bark
102104.wav,102104,0,0.07,1,4,3,dog_bark
63292.wav,63292,0,0.07,1,4,3,dog_bark
34931.wav,34931,0,0.07,1,4,3,dog_bark
197243.wav,197243,0,0.04,1,4,3,dog_bark
102103.wav,102103,0,0.07,1,4,3,dog_bark
119420.wav,119420,0,0.07,1,4,3,dog_bark
63261.wav,63261,0,0.07,1,4,3,dog_bark
9031.wav,9031,0,0.13,1,4,3,dog_bark
31840.wav,31840,0,0.06,1,4,3,dog_bark
36902.wav,36902,0,0.05,1,4,3,dog_bark
17486.wav,17486,0,0.06,1,4,3,dog_bark
58382.wav,58382,0,0.06,1,4,3,dog_bark
77674.wav,77674,0,0.05,1,4,3,dog_bark
178118.wav,178118,0,0.1,1,4,3,dog_bark
344.wav,344,0,0.57,1,4,3,dog_bark
72538.wav,72538,0,0.04,1,4,3,dog_bark
102106.wav,102106,0,0.04,1,4,3,dog_bark
102102.wav,102102,0,0.04,1,4,3,dog_bark
86279.wav,86279,0,0.04,1,4,3,dog_bark
170015.wav,170015,0,0.02,1,4,3,dog_bark
130030.wav,130030,0,0.02,1,4,3,dog_bark
125554.wav,125554,0,0.02,1,4,3,dog_bark
155294.wav,155294,0,0.02,1,4,3,dog_bark
11722.wav,11722,0,0.02,1,4,3,dog_bark
114280.wav,114280,0,0.06,1,4,3,dog_bark
116163.wav,116163,0,0.03,1,4,3,dog_bark
146343.wav,146343,0,0.06,1,4,3,dog_bark
163459.wav,163459,0,0.01,1,4,3,dog_bark
24965.wav,24965,0,0.03,1,4,3,dog_bark
38121.wav,38121,0,0.02,1,4,3,dog_bark
99185.wav,99185,0,0.02,1,4,3,dog_bark
97392.wav,97392,0,0.02,1,4,3,dog_bark
4912.wav,4912,0,0.02,1,4,3,dog_bark
76640.wav,76640,0,0.05,1,4,3,dog_bark
89207.wav,89207,0,0.02,1,4,3,dog_bark
84317.wav,84317,0,0.02,1,4,3,dog_bark
131199.wav,131199,0,0.02,1,4,3,dog_bark
115536.wav,115536,0,0.02,1,4,3,dog_bark
89210.wav,89210,0,0.02,1,4,3,dog_bark
118962.wav,118962,0,0.02,1,4,3,dog_bark
125574.wav,125574,0,0.01,1,4,3,dog_bark
47926.wav,47926,0,0.08,1,4,3,dog_bark
89211.wav,89211,0,0.02,1,4,3,dog_bark
89209.wav,89209,0,0.02,1,4,3,dog_bark
118072.wav,118072,0,0.01,1,4,3,dog_bark
162148.wav,162148,0,0,1,4,3,dog_bark
113785.wav,113785,0,0.02,1,4,3,dog_bark
9032.wav,9032,0,0.02,1,4,3,dog_bark
157950.wav,157950,0,0.01,1,4,3,dog_bark
89212.wav,89212,0,0.01,1,4,3,dog_bark
118964.wav,118964,0,0.01,1,4,3,dog_bark
142641.wav,142641,0,0.02,1,4,3,dog_bark
110134.wav,110134,0,0.01,1,4,3,dog_bark
155317.wav,155317,0,0.08,1,4,3,dog_bark
118961.wav,118961,0,0,1,4,3,dog_bark
89213.wav,89213,0,0.01,1,4,3,dog_bark
107190.wav,107190,0,0,1,4,3,dog_bark
155312.wav,155312,0,0.05,1,4,3,dog_bark
4910.wav,4910,0,0,1,4,3,dog_bark
159176.wav,159176,0,0.01,1,4,3,dog_bark
155315.wav,155315,0,0.04,1,4,3,dog_bark
118963.wav,118963,0,0,1,4,3,dog_bark
121888.wav,121888,0,0,1,4,3,dog_bark
110389.wav,110389,0,0,1,4,3,dog_bark
155313.wav,155313,0,0.04,1,4,3,dog_bark
50614.wav,50614,0,0.01,1,4,3,dog_bark
115535.wav,115535,0,0,1,4,3,dog_bark
155311.wav,155311,0,0.3,1,4,3,dog_bark
160094.wav,160094,0,0,1,4,3,dog_bark
160092.wav,160092,0,0,1,4,3,dog_bark
50612.wav,50612,0,0,1,4,3,dog_bark
155310.wav,155310,0,0.2,1,4,3,dog_bark
100032.wav,100032,0,0,1,4,3,dog_bark
160093.wav,160093,0,0,1,4,3,dog_bark
50613.wav,50613,0,0,1,4,3,dog_bark
4911.wav,4911,0,0,1,4,3,dog_bark
155320.wav,155320,0,0.1,1,4,3,dog_bark
155309.wav,155309,0,0.1,1,4,3,dog_bark
74922.wav,74922,0,0.18,1,5,4,drilling
147764.wav,147764,0,0.28,1,5,4,drilling
34621.wav,34621,0,0.28,1,5,4,drilling
205874.wav,205874,0,0.28,1,5,4,drilling
42324.wav,42324,0,0.18,1,5,4,drilling
107842.wav,107842,0,0.26,1,5,4,drilling
71529.wav,71529,0,0.26,1,5,4,drilling
137815.wav,137815,0,0.25,1,5,4,drilling
205610.wav,205610,0,0.16,1,5,4,drilling
57584.wav,57584,0,0.21,1,5,4,drilling
66622.wav,66622,0,0.2,1,5,4,drilling
14111.wav,14111,0,0.19,1,5,4,drilling
89099.wav,89099,0,0.11,1,5,4,drilling
95562.wav,95562,0,0.16,1,5,4,drilling
57696.wav,57696,0,0.15,1,5,4,drilling
46668.wav,46668,0,0.11,1,5,4,drilling
50413.wav,50413,0,0.1,1,5,4,drilling
17913.wav,17913,0,0.11,1,5,4,drilling
199929.wav,199929,0,0.1,1,5,4,drilling
50416.wav,50416,0,0.09,1,5,4,drilling
14114.wav,14114,0,0.1,1,5,4,drilling
14110.wav,14110,0,0.08,1,5,4,drilling
165640.wav,165640,0,0.08,1,5,4,drilling
50414.wav,50414,0,0.07,1,5,4,drilling
127538.wav,127538,0,0.15,1,5,4,drilling
14113.wav,14113,0,0.07,1,5,4,drilling
165641.wav,165641,0,0.07,1,5,4,drilling
50415.wav,50415,0,0.06,1,5,4,drilling
42937.wav,42937,0,0.08,1,5,4,drilling
71088.wav,71088,0,0.09,1,5,4,drilling
165645.wav,165645,0,0.06,1,5,4,drilling
165785.wav,165785,0,0.06,1,5,4,drilling
165644.wav,165644,0,0.06,1,5,4,drilling
71086.wav,71086,0,0.08,1,5,4,drilling
179212.wav,179212,0,0.05,1,5,4,drilling
103357.wav,103357,0,0.07,1,5,4,drilling
205878.wav,205878,0,0.05,1,5,4,drilling
165643.wav,165643,0,0.05,1,5,4,drilling
518.wav,518,0,0.1,1,5,4,drilling
165642.wav,165642,0,0.04,1,5,4,drilling
